颜色,红,绿,蓝,简介,权重
深金菊黄,184,134,11,<name>选中了深金菊黄，这个颜色的简介暂时还没有哦,10
深灰,169,169,169,<name>选中了深灰，深灰是介于黑和白之间的一种颜色。,10
深绿,0,100,0,<name>选中了深绿，深绿色。深色通常比较暗，就在绿色里加上黑色蓝色，会变成深绿色。,10
深卡其色,189,183,107,<name>选中了深卡其色，卡其色（Khaki）是一种介于浅黄褐色和黄褐色之间的颜色，所以卡其也是这种颜色的代称。,10
深品红,139,0,139,<name>选中了深品红，这个颜色的简介暂时还没有哦,10
金菊黄,218,165,32,<name>选中了金菊黄，一枝黄花，一种菊科花卉,10
灰色,128,128,128,<name>选中了灰色，这是个特别稀有的颜色，恭喜,10
调和绿,95,158,160,<name>选中了调和绿，这个颜色的简介暂时还没有哦,10
蜜瓜绿,240,255,240,<name>选中了蜜瓜绿，Honeydew即白兰瓜、蜜瓜,10
艳粉,255,105,180,<name>选中了艳粉，这个颜色的简介暂时还没有哦,10
卡其色,240,230,140,<name>选中了卡其色，Khaki是一种布料的名称,10
薰衣草紫,230,230,250,<name>选中了薰衣草紫，<name>更愿意成为闪耀的星星，或是香气扑鼻的薰衣草呢？,10
浅鲑红,255,160,122,<name>选中了浅鲑红，这个色彩和鲜肉色相似，也是一种纯度较低的红色，由于明度稍低，这个色彩和粉色有很大区别，缺少了粉色娇柔的的视觉效果，更多了一份厚实感，作为一种稍显低调的色彩，在设计中常用于辅助色。,10
青柠绿,50,205,50,<name>选中了青柠绿，Lime是青柠，Lemon才是柠檬,10
中紫,147,112,219,<name>选中了中紫，这个颜色的简介暂时还没有哦,10
天谴色,255,255,255,<name>选中了白色，<name>到底是受到了何种天谴才选中了这种颜色？,3
浅蓝,224,255,255,<name>选中了浅蓝，这个颜色的简介暂时还没有哦,10
海蓝宝石色,102,205,170,<name>选中了海蓝宝石色，这个颜色的简介暂时还没有哦,10
浅绿色,144,238,144,<name>选中了浅绿色，这个颜色的简介暂时还没有哦,10
深蓝绿色,0,206,209,<name>选中了深蓝绿色，这个颜色的简介暂时还没有哦,10
浅海绿色,32,178,170,<name>选中了浅海绿色，这个颜色的简介暂时还没有哦,10
橙色,255,165,0,<name>选中了橙色，这个颜色的简介暂时还没有哦,10
浅粉,255,182,193,<name>选中了浅粉，这个颜色的简介暂时还没有哦,10
金色,255,215,0,<name>选中了金色，这个颜色的简介暂时还没有哦,10
土著白,255,222,173,<name>选中了土著白，纳瓦霍(Navajo)是北美印第安人的一支。,10
蓟紫,216,191,216,<name>选中了蓟紫，菊科蓟属，多刺花卉，旧时苏格兰国花。,10
火砖红,178,34,34,<name>选中了火砖红，耐火砖的颜色比普通红砖要深。,10
浅天蓝,135,206,250,<name>选中了浅天蓝，这个颜色的简介暂时还没有哦,10
中嫩绿,0,250,154,<name>选中了中嫩绿，这个颜色的简介暂时还没有哦,10
春绿,0,255,127,<name>选中了春绿，这个颜色的简介暂时还没有哦。,10
森林绿,34,139,34,<name>选中了森林绿，这个颜色的简介暂时还没有哦。,10
中海藻绿,60,179,113,<name>选中了中海藻绿，这个颜色的简介暂时还没有哦。,10
橄榄绿,107,142,35,<name>选中了橄榄绿，这个颜色的简介暂时还没有哦,10
藏青,0,0,128,<name>选中了藏青，美国海军军服的颜色，Navy意为海军。,10
鸭翅绿,0,128,128,<name>选中了鸭翅绿，Teal意为绿翅鸭，一种水鸭。,10
湖蓝,30,144,255,<name>选中了湖蓝，这是洛杉矶道奇棒球队队标的颜色。,10
深岩灰,47,79,79,<name>选中了深岩灰，这个颜色的简介暂时还没有哦,10
品蓝,65,105,225,<name>选中了品蓝，直译为“皇家蓝”。,10
岩灰,112,128,144,<name>选中了岩灰，这个颜色的简介暂时还没有哦,10
栗色,128,0,0,<name>选中了栗色，这个颜色的简介暂时还没有哦,10
蓝紫色,138,43,226,<name>选中了蓝紫色，这个颜色即“蓝紫罗兰色”，直译名称过长，因此称为蓝紫色。,10
鞍褐,139,69,19,<name>选中了鞍褐，这个颜色的简介暂时还没有哦,10
深海藻绿,143,188,143,<name>选中了深海藻绿，这个颜色的简介暂时还没有哦,10
浅钢青,176,196,222,<name>选中了浅钢青，这个颜色的简介暂时还没有哦,10
粉末蓝,176,224,230,<name>选中了粉末蓝，得名自洗衣店用来漂染衣物的物质大青.,10
玫瑰褐,188,143,143,<name>选中了玫瑰褐，这个颜色的简介暂时还没有哦,10
银色,192,192,192,<name>选中了银色，这个颜色的简介暂时还没有哦,10
印度红,205,92,92,<name>选中了印度红，这个颜色的简介暂时还没有哦,10
秘鲁红,205,133,63,<name>选中了秘鲁红，从秘鲁国树金鸡纳树中提炼的一种颜料,10
番木瓜橙,255,239,213,<name>选中了秘鲁红番木瓜橙，本意为番木瓜(一种热带水果)汁,10
花卉白,255,250,240,<name>选中了花卉白，不可简称“花白”(后者与斑白同义),10
